fips,nchs
01001,3
01003,3
01005,5
01007,6
01009,3
01011,6
01013,6
01015,4
01017,6
01019,6
01021,6
01023,6
01025,6
01027,6
01029,6
01031,5
01033,4
01035,6
01037,6
01039,6
01041,6
01043,5
01045,4
01047,5
01049,5
01051,3
01053,6
01055,4
01057,6
01059,6
01061,6
01063,6
01065,6
01067,6
01069,4
01071,5
01073,3
01075,6
01077,4
01079,4
01081,5
01083,3
01085,6
01087,5
01089,3
01091,6
01093,6
01095,5
01097,3
01099,6
01101,3
01103,4
01105,6
01107,6
01109,5
01111,6
01113,3
01115,3
01117,3
01119,6
01121,5
01123,5
01125,4
01127,5
01129,6
01131,6
01133,6
02013,6
02016,6
02020,4
02050,6
02060,6
02068,6
02070,6
02090,5
02100,6
02105,NA
02110,5
02122,6
02130,6
02150,6
02164,6
02170,6
02180,6
02185,6
02188,6
02195,NA
02198,NA
02201,6
02220,6
02230,NA
02232,6
02240,6
02261,6
02270,6
02275,NA
02280,6
02282,6
02290,6
04001,6
04003,5
04005,5
04007,6
04009,6
04011,6
04012,6
04013,1
04015,3
04017,6
04019,3
04021,2
04023,5
04025,5
04027,4
05001,5
05003,6
05005,6
05007,4
05009,6
05011,6
05013,6
05015,6
05017,6
05019,5
05021,6
05023,6
05025,6
05027,5
05029,6
05031,5
05033,4
05035,2
05037,6
05039,6
05041,6
05043,6
05045,3
05047,6
05049,6
05051,5
05053,6
05055,5
05057,6
05059,6
05061,6
05063,6
05065,6
05067,6
05069,4
05071,6
05073,6
05075,6
05077,6
05079,6
05081,6
05083,6
05085,3
05087,6
05089,6
05091,4
05093,5
05095,6
05097,6
05099,6
05101,6
05103,5
05105,6
05107,6
05109,6
05111,6
05113,6
05115,5
05117,6
05119,3
05121,6
05123,5
05125,3
05127,6
05129,6
05131,4
05133,6
05135,6
05137,6
05139,5
05141,6
05143,4
05145,5
05147,6
05149,6
06001,1
06003,6
06005,6
06007,4
06009,6
06011,6
06013,2
06015,6
06017,2
06019,3
06021,6
06023,5
06025,5
06027,6
06029,3
06031,5
06033,5
06035,6
06037,1
06039,3
06041,2
06043,6
06045,5
06047,4
06049,6
06051,6
06053,3
06055,2
06057,6
06059,1
06061,2
06063,6
06065,1
06067,1
06069,5
06071,1
06073,1
06075,1
06077,3
06079,4
06081,2
06083,3
06085,1
06087,2
06089,4
06091,6
06093,6
06095,2
06097,3
06099,3
06101,4
06103,5
06105,6
06107,3
06109,6
06111,2
06113,2
06115,4
08001,2
08003,6
08005,2
08007,6
08009,6
08011,6
08013,2
08014,NA
08015,6
08017,6
08019,6
08021,6
08023,6
08025,6
08027,6
08029,6
08031,1
08033,6
08035,2
08037,6
08039,6
08041,3
08043,5
08045,6
08047,6
08049,6
08051,6
08053,6
08055,6
08057,6
08059,2
08061,6
08063,6
08065,6
08067,5
08069,4
08071,6
08073,6
08075,5
08077,5
08079,6
08081,6
08083,6
08085,6
08087,6
08089,6
08091,6
08093,6
08095,6
08097,6
08099,6
08101,4
08103,6
08105,6
08107,6
08109,6
08111,6
08113,6
08115,6
08117,6
08119,6
08121,6
08123,4
08125,6
09001,3
09003,1
09005,2
09007,2
09009,3
09011,3
09013,2
09015,2
10001,4
10003,3
10005,6
11001,1
12001,4
12003,6
12005,4
12007,6
12009,3
12011,1
12013,6
12015,4
12017,6
12019,3
12021,4
12023,5
12027,6
12029,6
12031,3
12033,3
12035,3
12037,6
12039,4
12041,6
12043,6
12045,6
12047,6
12049,6
12051,6
12053,2
12055,6
12057,1
12059,6
12061,5
12063,6
12065,6
12067,6
12069,2
12071,3
12073,4
12075,6
12077,6
12079,6
12081,3
12083,4
12085,3
12086,1
12087,5
12089,3
12091,4
12093,6
12095,1
12097,2
12099,3
12101,2
12103,2
12105,3
12107,5
12109,3
12111,3
12113,3
12115,3
12117,2
12119,6
12121,6
12123,6
12125,6
12127,3
12129,6
12131,6
12133,6
13001,6
13003,6
13005,6
13007,6
13009,5
13011,6
13013,2
13015,2
13017,6
13019,6
13021,3
13023,6
13025,6
13027,6
13029,3
13031,5
13033,6
13035,6
13037,6
13039,6
13043,6
13045,2
13047,3
13049,6
13051,3
13053,3
13055,6
13057,2
13059,4
13061,6
13063,2
13065,6
13067,2
13069,5
13071,5
13073,3
13075,6
13077,2
13079,6
13081,5
13083,3
13085,6
13087,5
13089,1
13091,6
13093,6
13095,4
13097,2
13099,6
13101,6
13103,3
13105,6
13107,6
13109,6
13111,6
13113,2
13115,5
13117,2
13119,6
13121,1
13123,6
13125,6
13127,5
13129,6
13131,6
13133,6
13135,2
13137,6
13139,5
13141,6
13143,6
13145,3
13147,6
13149,6
13151,2
