occ,description
0010,General and operations managers
0020,Legislators
0030,Advertising and promotions managers
0040,Marketing and sales managers
0050,Public relations and fundraising managers
0060,Administrative services managers
0100,Computer and information systems managers
0110,Financial managers
0120,Compensation and benefits managers
0135,Human resources managers
0136,Training and development managers
0137,Industrial production managers
0140,Purchasing managers
0150,"Transportation, storage, and distribution managers"
0160,"Farmers, ranchers, and other agricultural managers"
0205,Construction managers
0220,Education administrators
0230,Architectural and engineering managers
0300,Food service managers
0310,Funeral service managers
0325,Gaming managers
0330,Lodging managers
0340,Medical and health services managers
0350,Natural sciences managers
0360,Postmasters and mail superintendents
0400,"Property, real estate, and community association managers"
0410,Social and community service managers
0420,Emergency management directors
0425,"Managers, all other"
0430,Business and Financial Operations Occupations:
0500,"Buyers and purchasing agents, farm products"
0510,"Wholesale and retail buyers, except farm products"
0520,"Purchasing agents, except wholesale, retail, and farm products"
0530,"Claims adjusters, appraisers, examiners, and investigators"
0540,Compliance officers
0565,Cost estimators
0600,Human resources workers
0630,"Compensation, benefits, and job analysis specialists"
0640,Training and development specialists
0650,Logisticians
0700,Management analysts
0710,"Meeting, convention, and event planners"
0725,Fundraisers
0726,Market research analysts and marketing specialists
0735,"Business operations specialists, all other"
0740,Accountants and auditors
0800,Appraisers and assessors of real estate
0810,Budget analysts
0820,Credit analysts
0830,Financial analysts
0840,Personal financial advisors
0850,Insurance underwriters
0860,Financial examiners
0900,Credit counselors and loan officers
0910,"Tax examiners and collectors, and revenue agents"
0930,Tax preparers
0940,"Financial specialists, all other"
0950,"Computer, Engineering, and Science Occupations:"
1005,Computer systems analysts
1006,Information security analysts
1007,Computer programmers
1010,"Software developers, applications and systems software"
1020,Web developers
1030,Computer support specialists
1050,Database administrators
1060,Network and computer systems administrators
1105,Computer network architects
1106,"Computer occupations, all other"
1107,Actuaries
1200,Mathematicians
1210,Operations research analysts
1220,Statisticians
1230,Miscellaneous mathematical science occupations
1240,Architecture and Engineering Occupations:
1300,"Surveyors, cartographers, and photogrammetrists"
1310,Aerospace engineers
1320,Agricultural engineers
1330,Biomedical engineers
1340,Chemical engineers
1350,Civil engineers
1360,Computer hardware engineers
1400,Electrical and electronics engineers
1410,Environmental engineers
1420,"Industrial engineers, including health and safety"
1430,Marine engineers and naval architects
1440,Materials engineers
1450,Mechanical engineers
1460,"Mining and geological engineers, including mining safety engineers"
1500,Nuclear engineers
1510,Petroleum engineers
1520,"Engineers, all other"
1530,Drafters
1540,"Engineering technicians, except drafters"
1550,Surveying and mapping technicians
1560,"Life, Physical, and Social Science Occupations:"
1600,Biological scientists
1610,Conservation scientists and foresters
1640,Medical scientists
1650,"Life scientists, all other"
1660,Astronomers and physicists
1700,Atmospheric and space scientists
1710,Chemists and materials scientists
