year,cpi
1947,22.332
1948,24.045
1949,23.809
1950,24.063
1951,25.973
1952,26.567
1953,26.768
1954,26.865
1955,26.796
1956,27.191
1957,28.113
1958,28.881
1959,29.15
1960,29.585
1961,29.902
1962,30.253
1963,30.633
1964,31.038
1965,31.528
1966,32.471
1967,33.375
1968,34.792
1969,36.683
1970,38.842
1971,40.483
1972,41.808
1973,44.425
1974,49.317
1975,53.825
1976,56.933
1977,60.617
1978,65.242
1979,72.583
1980,82.383
1981,90.933
1982,96.533
1983,99.583
1984,103.933
1985,107.6
1986,109.692
1987,113.617
1988,118.275
1989,123.942
1990,130.658
1991,136.167
1992,140.308
1993,144.475
1994,148.225
1995,152.383
1996,156.858
1997,160.525
1998,163.008
1999,166.583
2000,172.192
2001,177.042
2002,179.867
2003,184.0
2004,188.908
2005,195.267
2006,201.558
2007,207.344
2008,215.254
2009,214.565
2010,218.076
2011,224.93
2012,229.6
2013,232.962
2014,236.712
2015,237.0
