year,month,cpi
1947,1,21.48
1947,2,21.62
1947,3,22.0
1947,4,22.0
1947,5,21.95
1947,6,22.08
1947,7,22.23
1947,8,22.4
1947,9,22.84
1947,10,22.91
1947,11,23.06
1947,12,23.41
1948,1,23.68
1948,2,23.67
1948,3,23.5
1948,4,23.82
1948,5,24.01
1948,6,24.15
1948,7,24.4
1948,8,24.43
1948,9,24.36
1948,10,24.31
1948,11,24.16
1948,12,24.05
1949,1,24.01
1949,2,23.91
1949,3,23.91
1949,4,23.92
1949,5,23.91
1949,6,23.92
1949,7,23.7
1949,8,23.7
1949,9,23.75
1949,10,23.67
1949,11,23.7
1949,12,23.61
1950,1,23.51
1950,2,23.61
1950,3,23.64
1950,4,23.65
1950,5,23.77
1950,6,23.88
1950,7,24.07
1950,8,24.2
1950,9,24.34
1950,10,24.5
1950,11,24.6
1950,12,24.98
1951,1,25.38
1951,2,25.83
1951,3,25.88
1951,4,25.92
1951,5,25.99
1951,6,25.93
1951,7,25.91
1951,8,25.86
1951,9,26.03
1951,10,26.16
1951,11,26.32
1951,12,26.47
1952,1,26.45
1952,2,26.41
1952,3,26.39
1952,4,26.46
1952,5,26.47
1952,6,26.53
1952,7,26.68
1952,8,26.69
1952,9,26.63
1952,10,26.69
1952,11,26.69
1952,12,26.71
1953,1,26.64
1953,2,26.59
1953,3,26.63
1953,4,26.69
1953,5,26.7
1953,6,26.77
1953,7,26.79
1953,8,26.85
1953,9,26.89
1953,10,26.95
1953,11,26.85
1953,12,26.87
1954,1,26.94
1954,2,26.99
1954,3,26.93
1954,4,26.86
1954,5,26.93
1954,6,26.94
1954,7,26.86
1954,8,26.85
1954,9,26.81
1954,10,26.72
1954,11,26.78
1954,12,26.77
1955,1,26.77
1955,2,26.82
1955,3,26.79
1955,4,26.79
1955,5,26.77
1955,6,26.71
1955,7,26.76
1955,8,26.72
1955,9,26.85
1955,10,26.82
1955,11,26.88
1955,12,26.87
1956,1,26.83
1956,2,26.86
1956,3,26.89
1956,4,26.93
1956,5,27.03
1956,6,27.15
1956,7,27.29
1956,8,27.31
1956,9,27.35
1956,10,27.51
1956,11,27.51
1956,12,27.63
1957,1,27.67
1957,2,27.8
1957,3,27.86
1957,4,27.93
1957,5,28.0
1957,6,28.11
1957,7,28.19
1957,8,28.28
1957,9,28.32
1957,10,28.32
1957,11,28.41
1957,12,28.47
1958,1,28.64
1958,2,28.7
1958,3,28.87
1958,4,28.94
1958,5,28.94
1958,6,28.91
1958,7,28.89
1958,8,28.94
1958,9,28.91
1958,10,28.91
1958,11,28.95
1958,12,28.97
1959,1,29.01
1959,2,29.0
1959,3,28.97
1959,4,28.98
1959,5,29.04
1959,6,29.11
1959,7,29.15
1959,8,29.18
1959,9,29.25
1959,10,29.35
1959,11,29.35
1959,12,29.41
1960,1,29.37
1960,2,29.41
1960,3,29.41
1960,4,29.54
1960,5,29.57
1960,6,29.61
1960,7,29.55
1960,8,29.61
1960,9,29.61
1960,10,29.75
1960,11,29.78
1960,12,29.81
1961,1,29.84
1961,2,29.84
1961,3,29.84
1961,4,29.81
1961,5,29.84
1961,6,29.84
1961,7,29.92
1961,8,29.94
1961,9,29.98
1961,10,29.98
1961,11,29.98
1961,12,30.01
1962,1,30.04
1962,2,30.11
1962,3,30.17
1962,4,30.21
1962,5,30.24
1962,6,30.21
1962,7,30.22
1962,8,30.28
1962,9,30.42
1962,10,30.38
1962,11,30.38
1962,12,30.38
1963,1,30.44
1963,2,30.48
1963,3,30.51
